intern_id,first_name,last_name,email,phone,degree,university,year_graduation
1,Katherine,Ramirez,katherine.ramirez1@example.com,8646983585,M.Sc,Pune University,2022
2,Jeffrey,Ray,jeffrey.ray2@example.com,+1-127-710-0128x0495,B.E.,IIIT Delhi,2023
3,Sabrina,Perez,sabrina.perez3@example.com,0057882340,M.Sc,Mumbai University,2021
4,Brittany,Wiley,brittany.wiley4@example.com,299-883-3283x8999,M.Tech,Delhi University,2021
5,Melissa,Robles,melissa.robles5@example.com,+1-405-498-7552x272,BCA,Pune University,2019
6,Dylan,Adams,dylan.adams6@example.com,7230395953,B.Sc,Delhi University,2024
7,Melissa,Hernandez,melissa.hernandez7@example.com,253.688.2540x4672,B.Sc,NIT Trichy,2018
8,Terri,Martin,terri.martin8@example.com,127.704.2183x9329,BCA,BITS Pilani,2024
9,Angela,White,angela.white9@example.com,159-522-3466,B.Sc,BITS Pilani,2018
10,Amber,Sutton,amber.sutton10@example.com,(417)631-6726x33654,M.Sc,IIIT Delhi,2022
11,Andrew,Barber,andrew.barber11@example.com,970.030.6765x028,B.Tech,Mumbai University,2018
12,Joshua,Anderson,joshua.anderson12@example.com,001-693-056-1066,M.Tech,VIIT,2025
13,Colleen,Jones,colleen.jones13@example.com,394.268.9427,BBA,Delhi University,2023
14,Nancy,Williams,nancy.williams14@example.com,349-357-3609x908,BBA,NIT Trichy,2024
15,Dominique,Fleming,dominique.fleming15@example.com,405-419-9772x01669,B.E.,Delhi University,2018
16,Destiny,Osborn,destiny.osborn16@example.com,001-007-534-7411x5540,M.Tech,Pune University,2024
17,Kenneth,Johnson,kenneth.johnson17@example.com,(116)142-8725,B.Tech,BITS Pilani,2025
18,Amanda,Rodriguez,amanda.rodriguez18@example.com,(985)256-4190x1705,B.Tech,Pune University,2024
19,Jimmy,Green,jimmy.green19@example.com,(750)959-5687x81033,B.Sc,VIIT,2025
20,Michael,Lopez,michael.lopez20@example.com,869.240.5541,B.Tech,IIIT Delhi,2026
21,Jennifer,Montes,jennifer.montes21@example.com,517-383-4257x709,BBA,BITS Pilani,2025
22,Robert,Padilla,robert.padilla22@example.com,(491)445-4200x4021,M.Sc,Mumbai University,2020
23,Philip,Morales,philip.morales23@example.com,+1-251-172-4845x859,B.Tech,VIIT,2021
24,John,Nelson,john.nelson24@example.com,+1-125-554-6292x09306,B.Sc,Pune University,2023
25,Ana,Carter,ana.carter25@example.com,+1-294-335-4092x3606,B.Sc,IIIT Delhi,2021
26,Alexandra,Hull,alexandra.hull26@example.com,314-953-7673,M.Tech,Mumbai University,2021
27,Nicole,Shaw,nicole.shaw27@example.com,016.071.8555x42865,B.Sc,Delhi University,2021
28,Maria,Holland,maria.holland28@example.com,+1-714-634-9255x7172,BBA,VIIT,2019
29,Laura,Walsh,laura.walsh29@example.com,(092)094-5380,B.Sc,Delhi University,2020
30,Kevin,Lopez,kevin.lopez30@example.com,517.792.7112x3016,M.Tech,Mumbai University,2019
31,Patricia,Williams,patricia.williams31@example.com,956-801-2287x486,B.Tech,Pune University,2023
32,Angela,Walter,angela.walter32@example.com,+1-482-754-6456x064,BCA,BITS Pilani,2022
33,Christopher,Pineda,christopher.pineda33@example.com,033.741.4824,BBA,Delhi University,2023
34,Whitney,Hughes,whitney.hughes34@example.com,431.916.8731x5361,M.Sc,IIIT Delhi,2026
35,Carolyn,Welch,carolyn.welch35@example.com,+1-873-604-5066,B.E.,IIIT Delhi,2019
36,Brittany,Perez,brittany.perez36@example.com,+1-318-755-8124x7657,B.Tech,IIT Bombay,2019
37,Bruce,Curtis,bruce.curtis37@example.com,(479)256-2935,B.Sc,Delhi University,2022
38,Kevin,Hogan,kevin.hogan38@example.com,268.965.4411x8325,BCA,NIT Trichy,2018
39,Lori,Barnett,lori.barnett39@example.com,+1-724-788-2534x5589,B.Sc,Mumbai University,2025
40,Edward,Moses,edward.moses40@example.com,+1-586-271-9451x0238,M.Tech,Delhi University,2019
41,Randy,Clark,randy.clark41@example.com,001-630-800-3710x016,B.Tech,Mumbai University,2019
42,Elizabeth,Brown,elizabeth.brown42@example.com,+1-016-751-3344x172,BCA,BITS Pilani,2022
43,Meghan,Kelley,meghan.kelley43@example.com,303-756-4369,M.Tech,Mumbai University,2025
44,Christopher,Peterson,christopher.peterson44@example.com,+1-576-774-1667x12049,M.Sc,IIIT Delhi,2026
45,Kimberly,Mccullough,kimberly.mccullough45@example.com,269.904.6141x6420,M.Tech,Delhi University,2020
46,Larry,Cook,larry.cook46@example.com,+1-643-830-9052,B.E.,Mumbai University,2025
47,Jeremy,Wiggins,jeremy.wiggins47@example.com,001-781-280-9643,M.Sc,IIT Bombay,2026
48,Misty,Meadows,misty.meadows48@example.com,437.403.0895,M.Tech,VIIT,2026
49,Stephanie,Brown,stephanie.brown49@example.com,963-501-5157,M.Sc,VIIT,2024
50,Christina,Smith,christina.smith50@example.com,001-959-460-2100x04236,BCA,Mumbai University,2023
51,Claudia,King,claudia.king51@example.com,(321)476-1576,B.Sc,IIT Bombay,2019
52,Dean,Scott,dean.scott52@example.com,057-218-8525x20964,B.E.,Mumbai University,2026
53,Timothy,Lewis,timothy.lewis53@example.com,+1-897-900-2847,B.Sc,BITS Pilani,2018
54,Michael,Howard,michael.howard54@example.com,001-567-080-2424,M.Sc,IIT Bombay,2021
55,Joshua,Porter,joshua.porter55@example.com,+1-452-607-4574x0890,B.Tech,IIIT Delhi,2026
56,David,Kemp,david.kemp56@example.com,(864)542-8684,BBA,Pune University,2026
57,Sarah,Pierce,sarah.pierce57@example.com,5045126530,B.E.,BITS Pilani,2018
58,Emily,Walsh,emily.walsh58@example.com,(625)781-9701x525,B.E.,VIIT,2025
59,Michael,Salas,michael.salas59@example.com,+1-957-350-9613x46831,B.Tech,Mumbai University,2019
60,Kelly,Nguyen,kelly.nguyen60@example.com,200.704.2056x43736,M.Sc,Delhi University,2026
61,Stephanie,Day,stephanie.day61@example.com,479-508-4123,B.Tech,Delhi University,2022
62,Heidi,Rollins,heidi.rollins62@example.com,1407737082,B.Sc,Delhi University,2019
63,Mallory,Romero,mallory.romero63@example.com,+1-514-680-9602x11828,BCA,Delhi University,2019
64,Brian,Weaver,brian.weaver64@example.com,(675)959-0986x91108,M.Tech,Pune University,2018
65,Kurt,Pham,kurt.pham65@example.com,+1-344-598-5586,M.Sc,Pune University,2020
